meter_number,poc_number,total_blank_periods,avg_monthly_units_over_blank_periods,std_monthly_units_over_blank_periods,last_blank_period_start,last_blank_period_end,last_blank_period_length,months_since_last_blank_period,total_units_before_last_blank_period,monthly_units_over_last_blank_period,longest_blank_period_start,longest_blank_period_end,longest_blank_period_length,months_since_longest_blank_period,total_units_before_longest_blank_period,monthly_units_over_longest_blank_period
4209733015,498055,17,11.336718750000001,16.1201127942401,2021-07-31,2022-01-31,6,2,9.6,1.6,2019-05-31,2020-01-31,8,26,26.3,3.29
4214004279,498346,26,2.7076674854299343,1.2387972425171365,2022-01-31,2022-03-31,2,0,5.7,2.85,2013-04-30,2013-08-31,4,103,8.9,2.22
4214004352,498152,12,3.3617996123007567,3.496130539439358,2022-01-31,2022-03-31,2,0,5.58,2.79,2012-12-31,2013-02-28,2,109,12.7,6.35
4214029144,498121,5,3.529166666666667,1.2460144795841392,2021-08-31,2021-10-31,2,5,9.6,4.8,2021-03-31,2021-06-30,3,9,6.8,2.27
4214032098,498106,22,1.3226584022038568,0.6003526799118194,2021-09-30,2022-02-28,5,0,2.0,0.4,2020-10-31,2021-09-30,11,5,2.0,0.18
4214035679,498100,28,1.2457482993197275,0.40270575921856094,2021-09-30,2021-12-31,3,0,4.8,1.6,2017-12-31,2018-08-31,8,40,4.7,0.59
4214039804,498148,22,1.3006060606060605,0.5301778207162486,2019-10-31,2019-12-31,2,0,2.0,1.0,2013-12-31,2014-10-31,10,62,15.8,1.58
4214050165,498163,8,2.509375,2.0034321137425644,2020-12-31,2021-02-28,2,10,6.3,3.15,2018-11-30,2020-01-31,14,23,1.4,0.1
4214060180,497970,13,12.615384615384615,12.339701165428238,2017-10-31,2018-01-31,3,17,44.7,14.9,2017-10-31,2018-01-31,3,17,44.7,14.9
4214065866,498109,16,10.267395833333333,7.225021457310264,2021-08-31,2022-01-31,5,0,9.6,1.92,2021-08-31,2022-01-31,5,0,9.6,1.92
4214075303,497962,14,4.888965201465202,5.633751794381738,2021-10-31,2022-01-31,3,0,2.9,0.97,2019-11-30,2020-12-31,13,13,2.0,0.15
4214075493,498115,14,3.4365384615384618,1.1727111661828502,2021-08-31,2021-10-31,2,5,4.8,2.4,2013-08-31,2013-12-31,4,99,9.5,2.38
4214077515,498133,22,1.5199390645586297,0.9124119704864547,2021-06-30,2021-12-31,6,0,4.8,0.8,2012-10-31,2014-09-30,23,87,12.6,0.55
4214087993,498147,9,2.4187499999999997,1.0726536894543364,2021-08-31,2021-10-31,2,5,4.8,2.4,2012-09-30,2012-11-30,2,112,2.8,1.4
4214091987,498146,27,1.9094032921810704,1.497879822496183,2021-06-30,2022-02-28,8,0,2.0,0.25,2020-09-30,2021-06-30,9,8,2.0,0.22
4214102552,498096,3,1.6,1.4,2020-05-31,2021-03-31,10,12,2.0,0.2,2020-05-31,2021-03-31,10,12,2.0,0.2
4214103451,498113,26,1.680506607742663,0.7481263150511434,2021-12-31,2022-03-31,3,0,9.5,3.17,2013-12-31,2015-06-30,18,81,31.6,1.76
